hierarchy_code,l1_name,l2_name,sku_code,color,size,air,auc,peak_week,peak_units,target_wos,lead_time_weeks,case_pack,safety_weeks,activation_week,deactivation_week,status_seed,tagged_to
70001,Tops,Crew Tee,QC-TEE-01,White,M,29.0,9.0,30,400,5,8,12,1,202401,202852,Old,
70002,Bottoms,Straight Trouser,QC-BTM-02,Navy,32,69.0,24.0,34,260,6,8,8,2,202401,202852,Old,
70003,Outerwear,Field Jacket,QC-OUT-03,Olive,L,119.0,46.0,40,180,8,8,6,2,202401,202852,Old,
70004,Footwear,Trail Sneaker,QC-FTW-04,Black,M,99.0,38.0,28,220,7,8,8,3,202401,202852,Old,
70005,Knitwear,Cable Sweater,QC-KNT-05,Stone,M,89.0,35.0,44,160,8,8,6,2,202401,202852,Old,
70006,Tops,Linen Shirt,QC-LIN-06,Sky,M,59.0,21.0,32,200,5,8,8,2,202614,202852,New,70001
70007,Tops,Classic Tee,QC-TEE-07,Black,S,40.0,13.2,32,160,6,8,4,1,202401,202852,Old,
70008,Bottoms,Classic Trouser,QC-TRO-08,Black,L,76.0,27.4,27,320,8,8,6,3,202401,202852,Old,
70009,Outerwear,Classic Jacket,QC-JAC-09,Black,XS,157.0,62.8,33,200,5,6,4,1,202401,202852,Old,
70010,Footwear,Classic Sneaker,QC-SNE-10,Charcoal,32,103.0,39.1,31,160,6,8,4,1,202401,202852,Old,
70011,Knitwear,Classic Sweater,QC-SWE-11,Khaki,S,79.0,30.8,31,400,6,6,8,2,202401,202852,Old,
70012,Activewear,Classic Legging,QC-LEG-12,Stone,32,69.0,24.1,33,400,8,6,8,2,202401,202852,Old,
70013,Dresses,Classic Dress,QC-DRE-13,Olive,S,119.0,44.0,30,260,7,6,8,3,202401,202852,Old,
70014,Accessories,Classic Belt,QC-BEL-14,Olive,XL,44.0,15.0,27,200,6,6,4,2,202401,202852,Old,
70015,Tops,Relaxed Tee,QC-TEE-15,Khaki,XS,30.0,9.9,37,260,5,6,4,2,202401,202852,Old,
70016,Bottoms,Relaxed Trouser,QC-TRO-16,Rust,32,73.0,26.3,37,260,7,8,4,2,202401,202852,Old,
70017,Outerwear,Relaxed Jacket,QC-JAC-17,Sand,L,125.0,50.0,27,200,8,4,8,1,202401,202852,Old,
70018,Footwear,Relaxed Sneaker,QC-SNE-18,Sky,M,96.0,36.5,32,320,8,6,6,1,202401,202852,Old,
70019,Knitwear,Relaxed Sweater,QC-SWE-19,Stone,XS,115.0,44.9,32,260,8,4,6,1,202401,202852,Old,
70020,Activewear,Relaxed Legging,QC-LEG-20,Charcoal,32,51.0,17.8,29,320,6,4,6,3,202401,202852,Old,
70021,Dresses,Relaxed Dress,QC-DRE-21,Charcoal,XL,120.0,44.4,37,260,8,8,8,1,202401,202852,Old,
70022,Accessories,Relaxed Belt,QC-BEL-22,Charcoal,M,33.0,11.2,28,320,6,4,4,1,202401,202852,Old,
70023,Tops,Slim Tee,QC-TEE-23,Charcoal,M,46.0,15.2,27,160,8,4,4,2,202401,202852,Old,
70024,Bottoms,Slim Trouser,QC-TRO-24,Khaki,M,79.0,28.4,33,400,8,4,8,3,202401,202852,Old,
70025,Outerwear,Slim Jacket,QC-JAC-25,Sky,M,197.0,78.8,32,160,5,8,6,1,202401,202852,Old,
70026,Footwear,Slim Sneaker,QC-SNE-26,Rust,32,123.0,46.7,30,260,7,8,8,1,202401,202852,Old,
70027,Knitwear,Slim Sweater,QC-SWE-27,White,XL,84.0,32.8,27,160,8,6,8,2,202401,202852,Old,
70028,Activewear,Slim Legging,QC-LEG-28,White,32,56.0,19.6,32,200,7,4,6,2,202401,202852,Old,
70029,Dresses,Slim Dress,QC-DRE-29,Khaki,32,102.0,37.7,29,160,6,8,6,3,202401,202852,Old,
70030,Accessories,Slim Belt,QC-BEL-30,Rust,S,32.0,10.9,35,320,7,6,8,1,202401,202852,Old,
70031,Tops,Premium Tee,QC-TEE-31,White,34,37.0,12.2,33,200,6,8,4,3,202401,202852,Old,
70032,Bottoms,Premium Trouser,QC-TRO-32,Navy,XS,79.0,28.4,28,260,7,8,6,1,202401,202852,Old,
70033,Outerwear,Premium Jacket,QC-JAC-33,Stone,32,104.0,41.6,30,320,5,6,4,2,202401,202852,Old,
70034,Footwear,Premium Sneaker,QC-SNE-34,Black,S,67.0,25.5,37,400,6,4,8,1,202401,202852,Old,
70035,Knitwear,Premium Sweater,QC-SWE-35,Black,S,82.0,32.0,32,260,5,8,4,3,202401,202852,Old,
70036,Activewear,Premium Legging,QC-LEG-36,White,XS,61.0,21.3,31,160,6,4,4,1,202401,202852,Old,
70037,Dresses,Premium Dress,QC-DRE-37,Rust,XL,126.0,46.6,31,200,8,4,4,2,202401,202852,Old,
70038,Accessories,Premium Belt,QC-BEL-38,Olive,S,40.0,13.6,27,320,8,6,4,2,202401,202852,Old,
70039,Tops,Everyday Tee,QC-TEE-39,White,L,28.0,9.2,36,260,7,4,8,1,202401,202852,Old,
70040,Bottoms,Everyday Trouser,QC-TRO-40,Khaki,XS,71.0,25.6,31,160,8,6,8,2,202401,202852,Old,
70041,Outerwear,Everyday Jacket,QC-JAC-41,Stone,S,131.0,52.4,36,400,7,8,6,2,202401,202852,Old,
70042,Footwear,Everyday Sneaker,QC-SNE-42,Sky,32,67.0,25.5,32,160,7,8,4,3,202401,202852,Old,
70043,Knitwear,Everyday Sweater,QC-SWE-43,Khaki,L,107.0,41.7,30,400,6,4,6,1,202401,202852,Old,
70044,Activewear,Everyday Legging,QC-LEG-44,Sand,XL,88.0,30.8,34,200,6,4,6,3,202401,202852,Old,
70045,Dresses,Everyday Dress,QC-DRE-45,Rust,32,83.0,30.7,38,320,8,6,6,1,202401,202852,Old,
70046,Accessories,Everyday Belt,QC-BEL-46,Sky,34,54.0,18.4,29,400,8,8,4,3,202401,202852,Old,
70047,Tops,Heritage Tee,QC-TEE-47,Khaki,L,49.0,16.2,29,320,7,4,8,2,202401,202852,Old,
70048,Bottoms,Heritage Trouser,QC-TRO-48,Black,32,87.0,31.3,32,400,5,4,6,1,202401,202852,Old,
70049,Outerwear,Heritage Jacket,QC-JAC-49,Navy,S,176.0,70.4,38,200,7,6,6,2,202401,202852,Old,
70050,Footwear,Heritage Sneaker,QC-SNE-50,White,M,105.0,39.9,28,160,5,8,8,2,202401,202852,Old,
70051,Knitwear,Heritage Sweater,QC-SWE-51,Black,S,117.0,45.6,27,400,6,6,4,3,202401,202852,Old,
70052,Activewear,Heritage Legging,QC-LEG-52,Black,32,40.0,14.0,34,320,7,4,6,1,202401,202852,Old,
70053,Dresses,Heritage Dress,QC-DRE-53,Khaki,S,94.0,34.8,30,320,6,6,4,1,202614,202852,New,70045
70054,Accessories,Heritage Belt,QC-BEL-54,Rust,S,35.0,11.9,38,320,8,8,6,2,202614,202852,New,70046
