hierarchy_code,l1_name,l2_name,sku_code,color,size,air,auc,peak_week,peak_units,target_wos,lead_time_weeks,case_pack,safety_weeks,activation_week,deactivation_week,status_seed,tagged_to
60001,Tops,Classic Tee,NM-TEE-01,White,M,29.0,9.0,26,500,5,8,24,1,202401,202852,Old,
60002,Outerwear,Denim Jacket,NM-DNM-02,Indigo,L,119.0,44.0,38,180,8,14,6,2,202401,202852,Old,
60003,Bottoms,Chino Pants,NM-CHN-03,Khaki,32,69.0,24.0,34,260,6,12,12,2,202401,202852,Old,
60004,Outerwear,Wool Sweater,NM-WOL-04,Charcoal,M,89.0,33.0,44,200,8,12,6,3,202401,202852,Old,
60005,Tops,Summer Linen Shirt,NM-LIN-05,Sky,M,59.0,21.0,32,220,5,10,12,2,202614,202852,New,60007
60006,Outerwear,Puffer Vest,NM-PUF-06,Black,L,99.0,37.0,46,160,8,12,6,3,202624,202852,New,60004
60007,Tops,Relaxed Tee,NM-TEE-07,White,32,40.0,13.2,28,200,5,4,6,3,202401,202852,Old,
60008,Bottoms,Classic Trouser,NM-BTM-08,Black,L,67.0,24.1,34,320,7,8,8,3,202401,202852,Old,
60009,Outerwear,Classic Jacket,NM-OUT-09,Indigo,32,136.0,54.4,27,400,7,8,8,2,202401,202852,Old,
60010,Footwear,Classic Sneaker,NM-FTW-10,Rust,XL,86.0,32.7,30,200,6,6,6,3,202401,202852,Old,
60011,Knitwear,Classic Sweater,NM-KNT-11,Indigo,34,85.0,33.1,37,320,8,8,6,2,202401,202852,Old,
60012,Activewear,Classic Legging,NM-ACT-12,Indigo,M,53.0,18.5,35,500,5,4,6,1,202401,202852,Old,
60013,Dresses,Classic Dress,NM-DRS-13,Rust,34,64.0,23.7,37,260,8,4,4,2,202401,202852,Old,
60014,Accessories,Classic Belt,NM-ACC-14,Indigo,32,40.0,13.6,34,260,8,4,8,1,202401,202852,Old,
60015,Tops,Slim Tee,NM-TEE-15,Rust,L,33.0,10.9,32,260,8,6,6,2,202401,202852,Old,
60016,Bottoms,Relaxed Trouser,NM-BTM-16,Olive,S,64.0,23.0,30,260,6,8,4,2,202401,202852,Old,
60017,Outerwear,Relaxed Jacket,NM-OUT-17,Sand,S,156.0,62.4,37,260,7,8,8,2,202401,202852,Old,
60018,Footwear,Relaxed Sneaker,NM-FTW-18,Indigo,M,82.0,31.2,28,320,6,4,8,1,202401,202852,Old,
60019,Knitwear,Relaxed Sweater,NM-KNT-19,Khaki,L,63.0,24.6,37,400,6,4,6,2,202401,202852,Old,
60020,Activewear,Relaxed Legging,NM-ACT-20,Sky,XS,71.0,24.8,38,260,7,4,6,1,202401,202852,Old,
60021,Dresses,Relaxed Dress,NM-DRS-21,Rust,34,77.0,28.5,36,400,8,6,4,3,202401,202852,Old,
60022,Accessories,Relaxed Belt,NM-ACC-22,Sand,M,43.0,14.6,35,320,7,6,6,3,202401,202852,Old,
60023,Tops,Premium Tee,NM-TEE-23,Black,S,45.0,14.9,32,160,7,8,6,1,202401,202852,Old,
60024,Bottoms,Slim Trouser,NM-BTM-24,Rust,XS,64.0,23.0,37,400,8,6,4,2,202401,202852,Old,
60025,Outerwear,Slim Jacket,NM-OUT-25,Black,XS,179.0,71.6,29,200,6,8,8,3,202401,202852,Old,
60026,Footwear,Slim Sneaker,NM-FTW-26,Black,M,128.0,48.6,33,160,8,8,4,1,202401,202852,Old,
60027,Knitwear,Slim Sweater,NM-KNT-27,Sky,XL,65.0,25.4,28,200,6,4,8,3,202401,202852,Old,
60028,Activewear,Slim Legging,NM-ACT-28,Khaki,XS,58.0,20.3,27,400,8,4,4,1,202401,202852,Old,
60029,Dresses,Slim Dress,NM-DRS-29,Sky,S,52.0,19.2,30,400,7,4,8,3,202401,202852,Old,
60030,Accessories,Slim Belt,NM-ACC-30,Olive,M,40.0,13.6,33,200,8,6,4,2,202401,202852,Old,
60031,Tops,Everyday Tee,NM-TEE-31,Khaki,XS,33.0,10.9,31,260,6,8,4,1,202401,202852,Old,
60032,Bottoms,Premium Trouser,NM-BTM-32,Charcoal,34,83.0,29.9,31,320,8,4,8,3,202401,202852,Old,
60033,Outerwear,Premium Jacket,NM-OUT-33,Stone,34,99.0,39.6,32,500,5,6,6,3,202401,202852,Old,
60034,Footwear,Premium Sneaker,NM-FTW-34,Rust,XL,79.0,30.0,37,400,6,6,4,1,202401,202852,Old,
60035,Knitwear,Premium Sweater,NM-KNT-35,Olive,M,104.0,40.6,30,320,8,8,8,3,202401,202852,Old,
60036,Activewear,Premium Legging,NM-ACT-36,Rust,S,83.0,29.0,32,200,8,8,8,1,202401,202852,Old,
60037,Dresses,Premium Dress,NM-DRS-37,Stone,XS,116.0,42.9,31,160,8,6,8,1,202401,202852,Old,
60038,Accessories,Premium Belt,NM-ACC-38,Khaki,XL,50.0,17.0,32,200,6,6,4,2,202401,202852,Old,
60039,Tops,Heritage Tee,NM-TEE-39,Rust,32,46.0,15.2,28,160,7,4,4,1,202401,202852,Old,
60040,Bottoms,Everyday Trouser,NM-BTM-40,White,L,59.0,21.2,27,500,8,6,4,3,202401,202852,Old,
60041,Outerwear,Everyday Jacket,NM-OUT-41,Khaki,S,166.0,66.4,30,200,8,8,4,3,202401,202852,Old,
60042,Footwear,Everyday Sneaker,NM-FTW-42,Sky,L,123.0,46.7,37,400,8,8,4,2,202401,202852,Old,
60043,Knitwear,Everyday Sweater,NM-KNT-43,Khaki,XL,106.0,41.3,32,500,6,6,8,1,202401,202852,Old,
60044,Activewear,Everyday Legging,NM-ACT-44,White,XL,70.0,24.5,36,200,8,8,8,3,202401,202852,Old,
60045,Dresses,Everyday Dress,NM-DRS-45,Rust,M,78.0,28.9,30,260,7,6,8,2,202401,202852,Old,
60046,Accessories,Everyday Belt,NM-ACC-46,Sky,S,31.0,10.5,29,500,5,6,8,2,202401,202852,Old,
60047,Tops,Lightweight Tee,NM-TEE-47,Stone,M,39.0,12.9,35,500,8,4,6,1,202401,202852,Old,
60048,Bottoms,Heritage Trouser,NM-BTM-48,Navy,XS,81.0,29.2,32,500,7,6,4,2,202401,202852,Old,
60049,Outerwear,Heritage Jacket,NM-OUT-49,Charcoal,S,163.0,65.2,30,260,5,8,4,1,202401,202852,Old,
60050,Footwear,Heritage Sneaker,NM-FTW-50,White,S,100.0,38.0,28,200,5,4,6,1,202401,202852,Old,
60051,Knitwear,Heritage Sweater,NM-KNT-51,Indigo,M,100.0,39.0,38,400,8,6,6,1,202401,202852,Old,
60052,Activewear,Heritage Legging,NM-ACT-52,Forest,L,63.0,22.0,28,160,5,8,6,2,202401,202852,Old,
60053,Dresses,Heritage Dress,NM-DRS-53,Sky,S,82.0,30.3,38,500,5,8,8,2,202624,202852,New,60029
60054,Accessories,Heritage Belt,NM-ACC-54,White,32,49.0,16.7,29,200,5,8,4,1,202614,202852,New,60014
60055,Tops,Quilted Tee,NM-TEE-55,Rust,S,24.0,7.9,37,500,7,8,4,3,202624,202852,New,60039
60056,Bottoms,Lightweight Trouser,NM-BTM-56,Rust,S,66.0,23.8,33,400,8,4,4,2,202618,202852,New,60048
60057,Outerwear,Lightweight Jacket,NM-OUT-57,Rust,32,162.0,64.8,30,400,7,6,8,3,202624,202852,New,60004
60058,Footwear,Lightweight Sneaker,NM-FTW-58,White,XL,87.0,33.1,28,500,6,4,6,2,202614,202852,New,60050
60059,Knitwear,Lightweight Sweater,NM-KNT-59,Navy,M,89.0,34.7,33,320,7,6,6,2,202624,202852,New,60051
60060,Activewear,Lightweight Legging,NM-ACT-60,Navy,XL,42.0,14.7,32,260,8,8,6,3,202610,202852,New,60036
